	mass A						
t	x	y	vx	vy	ax	ay	
16.957	9.238	0.852	0.458	0.459	5.607	3.748
16.990	9.260	0.867	0.532	0.427	-1.006	-2.018
17.024	9.275	0.882	0.344	0.345	-6.541	-4.684
17.057	9.282	0.889	0.115	0.115	-2.807	0.932
17.091	9.282	0.889	0.106	0.320	-0.984	0.982
17.124	9.290	0.912	0.111	0.336	-0.920	6.387
17.157	9.290	0.912	-6.855E-4	0.559	-1.965	-0.986
17.191	9.290	0.949	-7.031E-4	0.574	1.965	0.986
17.224	9.290	0.949	0.114	0.344	0.943	-6.546
17.257	9.297	0.971	0.106	0.320	-1.005	-3.027
17.291	9.297	0.971	0.000	0.000	11.22	3.755
17.324	9.297	0.971	0.802	0.575	10.27	17.78
17.358	9.349	1.009	0.957	1.280	-5.045	2.011
17.391	9.364	1.061	0.228	0.803	-13.07	-15.92
17.424	9.364	1.061	0.115	1.406E-4	-2.790	-13.10
17.458	9.372	1.061	0.107	1.306E-4	-0.983	-1.205E-3
17.491	9.372	1.061	-4.529E-14	-5.551E-17	0.000	0.000
17.525	9.372	1.061	0.112	1.371E-4	2.738	3.356E-3
17.558	9.379	1.061	0.213	2.612E-4	-2.410E-3	1.966
17.591	9.387	1.061	0.115	0.115	0.934	0.936
17.625	9.387	1.068	0.229	0.115	7.479	2.815
17.658	9.402	1.068	0.639	0.214	4.032	2.022
17.691	9.431	1.083	0.573	0.345	-6.546	-0.943
17.725	9.439	1.091	0.115	0.115	-9.071	-5.054
17.758	9.439	1.091	0.000	0.000	-7.418E-3	6.052
17.792	9.439	1.091	0.114	0.459	4.672	3.747
17.825	9.446	1.121	0.319	0.427	1.004	4.036
17.858	9.461	1.121	0.229	0.459	4.474E-3	-3.650
17.892	9.461	1.150	0.223	0.448	-1.821	-3.653
17.925	9.476	1.150	0.208	2.551E-4	3.938	-3.928
17.958	9.476	1.150	0.344	0.230	0.910	1.826
17.992	9.498	1.165	0.459	0.230	-1.880	7.480
18.025	9.506	1.165	0.106	0.533	-7.061	1.000
18.059	9.506	1.203	-7.031E-4	0.574	-1.865	-4.679
18.092	9.506	1.203	0.000	0.000	1.146E-2	-9.353
18.125	9.506	1.203	0.000	0.000	2.017	2.473E-3
18.159	9.506	1.203	0.115	1.406E-4	2.804	1.874
18.192	9.513	1.203	0.229	0.115	6.048	3.033
18.225	9.521	1.210	0.459	0.230	-4.821E-3	3.933
18.259	9.543	1.218	0.335	0.336	0.911	0.914
18.292	9.543	1.233	0.312	0.313	-6.879	-2.958
18.326	9.565	1.240	0.115	0.115	4.551	10.04
18.359	9.551	1.240	0.343	0.918	-4.672	-3.747
18.392	9.588	1.300	0.213	0.320	4.048	-11.09
18.426	9.565	1.262	0.115	-0.459	-2.794	-9.356
18.459	9.595	1.270	0.459	0.115	1.856	12.16
18.493	9.595	1.270	-2.612E-4	0.213	-2.473E-3	2.017
18.526	9.595	1.285	0.458	0.345	3.742	-0.931
18.559	9.625	1.292	0.459	0.115	-1.869	-0.938
18.593	9.625	1.292	0.106	0.213	-0.990	5.898
18.626	9.632	1.307	0.447	0.560	1.824	0.915
18.659	9.655	1.330	0.335	0.336	-4.555	-6.394
18.693	9.655	1.330	0.000	0.000	-5.892	-5.907
18.726	9.655	1.330	0.000	0.000	7.482	9.171E-3
18.760	9.655	1.330	0.459	5.625E-4	4.034	4.945E-3
18.793	9.685	1.330	0.459	5.625E-4	-2.473E-3	2.017
18.826	9.685	1.330	0.229	0.115	1.869	0.938
18.860	9.700	1.337	0.639	0.107	2.018	-1.006
18.893	9.729	1.337	0.459	5.625E-4	-13.09	-3.757
18.926	9.729	1.337	-0.344	-0.115	-10.29	-0.948
18.960	9.707	1.330	-0.319	-0.107	14.74	4.934
18.993	9.707	1.330	0.671	0.225	10.95	3.664
19.027	9.752	1.345	0.671	0.225	-5.473	-1.832
19.060	9.752	1.345	0.000	0.000	-11.79	-3.947
19.093	9.752	1.345	0.000	0.000	0.000	0.000
19.127	9.752	1.345	0.000	0.000	5.609	1.877
19.160	9.752	1.345	0.319	0.107	3.025	1.012
19.194	9.774	1.352	0.344	0.115	0.936	-0.934
19.227	9.774	1.352	0.229	2.813E-4	-4.032	-2.022
19.260	9.789	1.352	0.229	2.813E-4	-2.017	-2.473E-3
19.294	9.789	1.352	0.000	0.000	-3.741	-4.586E-3
19.327	9.789	1.352	0.000	0.000	12.10	2.032
19.360	9.789	1.352	0.688	0.116	5.474	0.919
19.394	9.834	1.360	0.671	0.113	-5.474	-0.919
19.427	9.834	1.360	0.000	0.000	-11.80	-1.981
19.461	9.834	1.360	0.000	0.000	5.473	1.832
19.494	9.834	1.360	0.344	0.115	2.805	0.939
19.527	9.856	1.367	0.319	0.107	-3.025	-1.012
19.561	9.856	1.367	0.000	0.000	-5.609	-1.877
19.594	9.856	1.367	0.000	0.000	7.484	-1.861
19.627	9.856	1.367	0.426	-0.106	4.036	-1.004
19.661	9.886	1.360	0.459	-0.114	-1.872	0.933
19.694	9.886	1.360	0.115	1.406E-4	-7.063	2.009
19.728	9.893	1.360	0.115	1.406E-4	-0.978	-3.934
19.761	9.893	1.360	2.742E-4	-0.224	1.830	-3.648
19.794	9.893	1.345	0.208	-0.312	5.898	0.990
19.828	9.908	1.337	0.459	-0.114	3.643	6.393
19.861	9.923	1.337	0.459	0.115	-1.874	2.804
19.894	9.938	1.345	0.319	0.107	-5.042	-1.015
19.928	9.946	1.345	0.115	1.406E-4	-2.804	-1.874
19.961	9.946	1.345	0.115	1.406E-4	-0.935	-1.146E-3
19.995	9.953	1.345	0.107	1.306E-4	5.043	6.181E-3
20.028	9.953	1.345	0.344	4.219E-4	10.29	1.261E-2
20.061	9.975	1.345	0.918	1.125E-3	-5.602	-7.489
20.095	10.01	1.345	0.107	-0.426	-14.74	-3.951
20.128	9.983	1.315	-0.447	-0.448	-3.655	3.646
20.162	9.983	1.315	0.112	1.371E-4	10.03	7.313
20.195	9.990	1.315	0.213	2.612E-4	3.933	4.821E-3
20.228	9.998	1.315	0.344	4.219E-4	-0.935	-1.146E-3
20.262	10.01	1.315	0.229	2.813E-4	-4.034	-4.945E-3
20.295	10.01	1.315	0.000	0.000	-2.017	-2.473E-3
20.328	10.01	1.315	0.115	1.406E-4	4.676	5.732E-3
20.362	10.02	1.315	0.320	3.917E-4	1.009	1.236E-3
20.395	10.04	1.315	0.229	2.813E-4	1.871	2.293E-3
20.429	10.04	1.315	0.344	4.219E-4	10.29	1.261E-2
20.462	10.06	1.315	0.959	1.175E-3	3.026	3.709E-3
20.495	10.10	1.315	0.688	8.438E-4	-10.95	-1.839
20.529	10.10	1.315	1.371E-4	-0.112	-10.95	-0.926
20.562	10.10	1.308	1.275E-4	-0.104	1.977	-8.847
20.595	10.10	1.308	0.115	-0.573	0.916	-2.737
20.629	10.11	1.271	0.115	-0.573	4.671	4.682
20.662	10.11	1.271	0.320	3.917E-4	3.013	10.09
20.696	10.13	1.271	0.459	5.625E-4	0.000	0.000
20.729	10.14	1.271	0.229	2.813E-4	-5.612	-6.878E-3
20.762	10.15	1.271	0.107	1.306E-4	-3.026	-3.709E-3
20.796	10.15	1.271	0.000	0.000	1.871	2.293E-3
20.829	10.15	1.271	0.229	2.813E-4	16.15	-8.049
20.863	10.16	1.271	1.033	-0.458	4.921	-3.927
20.896	10.21	1.241	0.784	-0.446	-8.216	1.815
20.929	10.21	1.241	0.104	-0.104	-12.79	6.867
20.963	10.22	1.233	0.115	-0.115	-0.914	0.911
20.996	10.22	1.233	0.000	0.000	1.376E-2	-11.22
21.029	10.22	1.233	0.107	-0.746	7.061	-1.000
21.063	10.23	1.181	0.459	-0.458	1.859	9.355
21.096	10.25	1.204	0.344	0.345	-0.943	6.546
21.130	10.25	1.204	0.213	-0.213	-4.024	-8.074
21.163	10.27	1.189	0.230	-0.229	-1.871	-2.293E-3
21.196	10.27	1.189	1.406E-4	-0.115	-3.745	2.801
21.230	10.27	1.181	1.306E-4	-0.107	9.841	-6.871
21.263	10.27	1.181	0.560	-0.447	8.220	-5.466
21.296	10.30	1.151	0.784	-0.670	-2.952	1.963
21.330	10.32	1.137	0.230	-0.229	-9.849	13.75
21.363	10.32	1.137	0.114	0.230	-0.935	-1.146E-3
21.397	10.33	1.152	0.213	-0.106	10.09	-5.031
21.430	10.33	1.129	0.689	-0.343	1.872	-0.933
21.463	10.37	1.129	0.574	7.031E-4	-6.554	5.604
21.497	10.37	1.129	0.000	0.000	-4.032	-2.022
21.530	10.37	1.129	0.344	-0.114	2.807	-0.932
21.563	10.39	1.122	0.344	-0.114	-0.927	-6.548
21.597	10.39	1.122	0.107	-0.426	-4.914	-1.972
21.630	10.40	1.092	0.112	-0.447	8.211	1.835
21.664	10.40	1.092	0.559	-0.111	8.212	0.923
21.697	10.44	1.085	0.853	-0.425	5.911	-9.825
21.730	10.46	1.062	0.804	-0.802	-8.419	0.925
21.764	10.49	1.032	0.459	-0.458	-9.364	9.341
21.797	10.49	1.032	0.000	0.000	-2.017	-2.473E-3
21.831	10.49	1.032	0.345	-0.458	6.558	-9.345
21.864	10.51	1.003	0.575	-0.802	-1.010	1.007
21.897	10.53	0.980	0.230	-0.344	-6.063	9.070
21.931	10.53	0.980	0.115	-0.115	-2.812	4.673
21.964	10.54	0.973	0.107	-0.106	5.042	1.015
21.997	10.54	0.973	0.344	4.219E-4	2.738	3.356E-3
22.031	10.56	0.973	0.448	-0.111	3.658	-6.384
22.064	10.57	0.965	0.417	-0.416	-5.892	-5.907
22.098	10.59	0.943	0.230	-0.573	-3.649	-0.917
22.131	10.58	0.928	5.625E-4	-0.459	0.000	0.000
22.164	10.59	0.913	0.320	-0.532	11.09	1.022
22.198	10.60	0.891	0.689	-0.458	1.868	1.873
22.231	10.63	0.883	0.574	-0.343	-6.543	-2.814
22.264	10.64	0.869	0.107	-0.639	-7.060	-8.654E-3
22.298	10.64	0.839	0.115	-0.459	-0.935	-1.146E-3
22.331	10.65	0.839	0.115	-0.459	5.038	4.041
22.365	10.65	0.809	0.345	-0.458	6.880	1.975
22.398	10.67	0.809	0.671	-0.111	3.645	4.567
22.431	10.69	0.801	0.521	-0.207	-6.883	-8.436E-3
22.465	10.71	0.794	0.230	-0.114	-3.645	-4.567
22.498	10.71	0.794	0.230	-0.459	3.755	-11.22
22.532	10.72	0.764	0.534	-0.958	1.020	-9.076
22.565	10.74	0.727	0.345	-1.032	-4.680	2.800
22.598	10.74	0.697	0.116	-0.803	-2.821	12.16
22.632	10.75	0.675	0.213	-0.213	-1.236E-2	10.09
22.665	10.76	0.682	0.115	1.406E-4	-2.808	1.867
22.698	10.76	0.675	2.813E-4	-0.229	3.746	-3.736
22.732	10.76	0.667	0.320	-0.213	8.859	-7.855
22.765	10.78	0.660	0.672	-0.670	3.659	-7.296
22.799	10.80	0.623	0.560	-0.894	-6.393	3.643
22.832	10.82	0.600	0.213	-0.319	-7.877	8.839
22.865	10.82	0.600	2.813E-4	-0.229	-3.736	-3.746
22.899	10.82	0.585	8.438E-4	-0.688	2.473E-3	-2.017
22.932	10.82	0.556	5.625E-4	-0.459	-9.890E-3	8.069
22.965	10.82	0.556	-4.645E-14	-5.693E-17	11.22	1.376E-2
22.999	10.82	0.556	0.640	-0.425	10.10	-12.09
23.032	10.86	0.526	0.919	-0.917	-3.739	-1.875
23.066	10.88	0.496	0.230	-0.573	-11.23	6.533
23.099	10.88	0.488	0.107	-0.319	3.029	-3.022
23.132	10.89	0.474	0.460	-0.803	3.656	-4.559
23.166	10.91	0.436	0.448	-0.782	-3.658	6.384
23.199	10.92	0.421	0.104	-0.208	-4.921	3.927
23.232	10.92	0.421	0.115	-0.459	2.744	-5.472
23.266	10.92	0.392	0.345	-0.803	4.682	-4.671
23.299	10.94	0.369	0.427	-0.639	8.069	9.890E-3
23.333	10.95	0.347	0.804	-0.802	0.932	2.807
23.366	10.99	0.317	0.689	-0.573	-10.09	3.013
23.399	11.00	0.310	5.625E-4	-0.459	-12.11	6.037
23.433	10.99	0.287	-0.114	-0.344	8.421	-2.795
23.466	10.99	0.287	0.533	-0.425	7.075	-12.09
23.500	11.03	0.258	0.575	-1.261	-2.732	-4.566
23.533	11.03	0.205	0.113	-0.895	-2.751	10.95
23.566	11.04	0.198	0.416	-0.208	7.854	9.842
23.600	11.06	0.190	0.689	-0.343	1.833	-6.386
23.633	11.08	0.176	0.574	-0.688	-10.28	-5.624
23.666	11.10	0.146	9.141E-4	-0.746	-8.070	0.999
23.700	11.08	0.123	-0.114	-0.574	-0.943	6.546
23.733	11.09	0.108	0.115	-0.344	8.419	-0.925
23.767	11.09	0.101	0.320	-0.532	3.039	-11.09
23.800	11.11	7.117E-2	0.460	-1.147	5.623	-9.346
23.833	11.12	2.644E-2	0.575	-1.261	0.936	-0.934
23.867	11.15	-1.081E-2	0.641	-1.065	-9.849	13.75
23.900	11.16	-4.808E-2	-0.111	-0.448	-4.574	9.120
23.933	11.14	-4.065E-2	0.112	-0.224	8.844	3.944
23.967	11.17	-6.298E-2	0.804	-0.458	8.854	-3.922
24.000	11.19	-7.041E-2	0.574	-0.343	-8.423	4.666
24.034	11.21	-8.531E-2	0.213	-0.213	-6.042	-8.076
24.067	11.21	-8.531E-2	0.116	-0.688	-2.783	-18.71
24.100	11.22	-0.130	0.117	-1.721	-0.930	-4.677
24.134	11.22	-0.197	1.306E-3	-1.065	-2.030	10.08
24.167	11.22	-0.205	8.438E-4	-0.688	5.605	5.618
24.201	11.22	-0.242	0.345	-1.032	4.677	-0.930
24.234	11.24	-0.272	0.427	-0.639	5.895	3.940
24.267	11.25	-0.287	0.560	-0.670	-2.738	-3.356E-3
24.301	11.28	-0.316	0.448	-0.782	-3.647	-2.742
24.334	11.28	-0.339	0.107	-0.746	-2.944	-4.920
24.367	11.28	-0.369	0.346	-1.147	0.931	3.742
24.401	11.30	-0.413	0.230	-0.688	-3.755	11.22
24.434	11.30	-0.413	1.306E-4	-0.107	-4.048	11.09
24.468	11.30	-0.421	1.406E-4	-0.115	7.502	-15.89
24.501	11.30	-0.421	0.460	-1.032	6.068	-13.10
24.534	11.33	-0.488	0.575	-1.376	1.004	4.036
24.568	11.33	-0.510	0.345	-0.458	-6.570	18.70
24.601	11.35	-0.518	0.213	-0.106	2.028	-9.075
24.634	11.35	-0.518	0.345	-0.917	0.928	-12.78
24.668	11.37	-0.577	0.449	-1.342	3.646	3.655
24.701	11.38	-0.607	0.417	-0.416	-1.446E-2	11.80
24.735	11.40	-0.607	0.574	-0.458	-2.742	3.647
24.768	11.42	-0.637	0.230	-0.459	-5.621	7.475
24.801	11.42	-0.637	0.106	0.213	3.008	14.12
24.835	11.42	-0.622	0.458	0.459	3.739	1.875
24.868	11.45	-0.607	0.458	0.345	-3.740	-0.940
24.901	11.45	-0.600	0.106	0.320	-1.007	-1.010
24.935	11.45	-0.585	0.344	0.345	8.409	6.557
24.968	11.48	-0.577	0.802	0.689	3.023	2.021
25.002	11.51	-0.540	0.573	0.689	-6.885	1.958
25.035	11.51	-0.532	0.223	0.560	-5.472	-2.744
25.068	11.52	-0.503	0.207	0.625	-4.821E-3	3.933
25.102	11.53	-0.488	0.229	0.689	3.653	-1.821
25.135	11.54	-0.458	0.458	0.689	3.748	-5.607
25.169	11.56	-0.443	0.532	0.214	3.028	-2.013
25.202	11.57	-0.443	0.573	0.460	-2.817	9.349
25.235	11.60	-0.413	0.458	1.033	-3.747	4.672
25.269	11.60	-0.376	0.212	0.746	-10.07	-9.090
25.302	11.61	-0.361	-0.115	0.344	-4.661	-12.16
25.335	11.60	-0.353	-0.229	-2.813E-4	1.877	-5.609
25.369	11.60	-0.361	0.107	-0.106	10.80	10.83
25.402	11.60	-0.361	0.447	0.672	5.464	9.133
25.436	11.63	-0.316	0.558	0.784	2.946	2.953
25.469	11.64	-0.308	0.573	0.574	-0.977	-4.917
25.502	11.66	-0.279	0.573	0.689	-0.935	-1.146E-3
25.536	11.68	-0.264	0.426	0.427	4.945E-3	-4.034
25.569	11.69	-0.249	0.573	0.460	-0.938	1.869
25.602	11.71	-0.234	0.458	0.574	-1.261E-2	10.29
25.636	11.72	-0.211	0.425	1.066	-4.034	-4.945E-3
25.669	11.74	-0.159	0.343	0.804	-4.661	-12.16
25.703	11.74	-0.159	0.000	0.000	9.171E-3	-7.482
25.736	11.74	-0.159	0.319	0.320	5.037	5.049
25.769	11.77	-0.137	0.458	0.459	1.812	10.95
25.803	11.77	-0.129	0.334	0.895	-0.922	7.300
25.836	11.79	-7.714E-2	0.415	1.145	3.615E-3	-2.950
25.870	11.80	-4.729E-2	0.343	0.574	-2.719	-15.52
25.903	11.81	-3.983E-2	0.229	0.115	-3.731	-8.422
25.936	11.82	-3.982E-2	0.107	1.306E-4	5.036	6.058
25.970	11.82	-3.982E-2	0.458	0.459	5.607	3.748
26.003	11.85	-9.951E-3	0.688	0.460	2.015	2.020
26.036	11.86	-9.932E-3	0.458	0.345	-6.048	-3.033
26.070	11.88	1.246E-2	0.344	0.459	-2.806	-3.439E-3
26.103	11.89	1.992E-2	0.213	0.213	-2.012	-4.037
26.137	11.89	2.739E-2	0.229	0.230	5.469	5.482
26.170	11.90	3.486E-2	0.559	0.560	2.734	2.741
26.203	11.93	6.472E-2	0.520	0.521	-2.948	-0.987
26.237	11.94	7.219E-2	0.229	0.344	-5.470	-4.570
26.270	11.95	8.711E-2	0.229	0.344	-3.439E-3	2.806
26.303	11.95	9.458E-2	0.213	0.426	-2.017	-2.473E-3
26.337	11.96	0.117	0.114	0.459	2.806	3.439E-3
26.370	11.96	0.124	0.344	0.345	8.416	0.946
26.404	11.98	0.139	0.745	0.534	5.037	5.049
26.437	12.01	0.162	0.688	0.689	-7.478	-3.750
26.470	12.03	0.184	0.229	0.344	-8.060	-7.070
26.504	12.03	0.184	0.115	0.115	-2.944	-4.920
26.537	12.04	0.192	0.112	0.112	-0.911	-0.914
26.570	12.04	0.192	0.000	0.000	-2.410E-3	1.966
26.604	12.04	0.192	0.114	0.230	6.381	5.483
26.637	12.04	0.207	0.458	0.459	5.609	1.877
26.671	12.06	0.221	0.532	0.320	3.022	3.029
26.704	12.08	0.229	0.573	0.574	-4.675	-0.941
26.737	12.10	0.259	0.344	0.459	-4.669	-5.617
26.771	12.10	0.259	0.107	1.306E-4	-3.016	-8.072
26.804	12.11	0.259	0.229	2.813E-4	3.739	1.875
26.838	12.12	0.259	0.344	0.115	0.920	12.16
26.871	12.13	0.266	0.319	0.746	-0.992	6.881
26.904	12.14	0.311	0.223	0.783	-1.817	-6.390
26.938	12.15	0.319	0.224	0.112	1.454E-2	-11.86
26.971	12.15	0.319	0.213	2.612E-4	3.930	1.971
27.004	12.16	0.319	0.459	0.230	1.866	3.743
27.038	12.18	0.333	0.458	0.345	4.033	1.014
27.071	12.19	0.341	0.573	0.230	1.011	-2.016
27.105	12.22	0.348	0.688	0.230	-3.739	-1.875
27.138	12.24	0.356	0.213	0.107	-6.053	1.001
27.171	12.24	0.356	0.229	0.230	1.868	1.873
27.205	12.25	0.371	0.458	0.345	1.146E-3	-0.935
27.238	12.27	0.378	0.213	0.107	-2.013	-3.028
27.271	12.27	0.378	0.229	0.115	-1.829	2.736
27.305	12.28	0.386	0.223	0.336	3.647	2.742
27.338	12.28	0.401	0.312	0.313	-0.980	-2.951
27.372	12.30	0.408	0.344	0.115	-0.909	-2.739
27.405	12.30	0.408	0.115	0.115	2.800	4.680
27.438	12.31	0.416	0.532	0.427	5.041	2.023
27.472	12.34	0.438	0.573	0.345	-2.805	-0.939
27.505	12.35	0.438	0.229	0.230	-5.609	-1.877
27.539	12.36	0.453	0.213	0.320	-1.236E-3	1.009
27.572	12.36	0.460	0.229	0.230	3.743	-1.866
27.605	12.37	0.468	0.459	0.230	2.017	2.473E-3
27.639	12.39	0.475	0.459	0.230	0.000	0.000
27.672	12.40	0.483	0.335	0.224	4.563	5.593E-3
27.705	12.42	0.490	0.728	0.209	0.986	-1.965
27.739	12.45	0.498	0.573	0.115	-8.210	-2.748
27.772	12.45	0.498	0.000	0.000	-9.350	-1.882
27.806	12.45	0.498	0.000	0.000	2.017	2.473E-3
27.839	12.45	0.498	0.115	1.406E-4	2.804	1.874
27.872	12.46	0.498	0.229	0.115	5.610	0.942
27.906	12.47	0.505	0.426	0.107	1.236E-3	-1.009
27.939	12.49	0.505	0.344	4.219E-4	6.542	3.749
27.972	12.49	0.505	0.688	0.345	1.867	2.808
28.006	12.53	0.528	0.745	0.321	0.987	-2.948
28.039	12.54	0.528	0.447	5.484E-4	-9.119	-5.487
28.073	12.56	0.528	0.336	4.113E-4	-2.950	-3.615E-3
28.106	12.56	0.528	0.115	1.406E-4	-4.916	-6.026E-3
28.139	12.57	0.528	0.115	1.406E-4	4.672	3.747
28.173	12.57	0.528	0.319	0.213	7.058	2.026
28.206	12.59	0.543	0.688	0.230	3.743	-1.866
28.239	12.62	0.543	0.574	7.031E-4	-6.542	-3.749
28.273	12.63	0.543	0.213	2.612E-4	-8.069	-9.890E-3
28.306	12.63	0.543	0.000	0.000	-3.748	5.607
28.340	12.63	0.543	-4.219E-4	0.344	5.606	4.683
28.373	12.63	0.565	0.319	0.427	7.063	-2.009
28.406	12.65	0.573	0.573	0.115	0.920	-6.387
28.440	12.67	0.573	0.336	4.113E-4	-2.740	1.822
28.473	12.68	0.573	0.312	0.208	-2.952	1.963
28.507	12.69	0.588	0.229	0.230	1.827	-1.823
28.540	12.69	0.588	0.344	4.219E-4	2.810	-3.738
28.573	12.71	0.588	0.533	6.529E-4		
28.607	12.73	0.588				
