#multi:
	mass A			mass B			
t	x	y	vx	x	y	vx	
3.742	-29.75	0.000	0.000	7.829	0.000	0.000
3.775	-29.75	0.000	-10.71	7.829	0.000	0.000
3.809	-30.45	0.000	-10.71	7.829	0.000	0.000
3.843	-30.45	0.000	-2.610	7.829	0.000	0.000
3.876	-30.62	0.000	-2.677	7.829	0.000	0.000
3.910	-30.62	0.000	0.000	7.829	0.000	0.000
3.944	-30.62	0.000	-8.030	7.829	0.000	0.000
3.978	-31.14	0.000	-6.663	7.829	0.000	0.000
4.011	-31.14	-0.174	-5.353	7.829	0.000	0.000
4.045	-31.49	-0.174	-8.030	7.829	0.000	0.000
4.079	-31.66	-0.174	-5.219	7.829	0.000	0.000
4.112	-31.84	-0.174	-5.353	7.829	0.000	0.000
4.146	-32.01	-0.174	-2.221	7.829	0.000	0.000
4.180	-32.01	-0.174	0.000	7.829	0.000	0.000
4.214	-32.01	-0.174	-5.353	7.829	0.000	0.000
4.247	-32.36	-0.174	-5.353	7.829	0.000	0.000
4.281	-32.36	-0.174	0.000	7.829	0.000	0.000
4.315	-32.36	-0.174	0.000	7.829	0.000	0.000
4.348	-32.36	-0.174		7.829	0.000	
